W[GeV],Theta[deg],dsigma[nb]
4.836,99.008,0.032639
4.836,101.13,0.031075
4.836,103.35,0.029573
4.836,105.61,0.028162
4.836,107.88,0.026862
4.836,110.09,0.025684
4.836,112.19,0.024639
4.836,114.14,0.023732
4.836,115.89,0.022969
4.836,117.37,0.022352
4.836,118.56,0.021881
4.836,119.41,0.021556
4.836,119.89,0.021376
4.836,120.11,0.021291
4.836,120.6,0.021114
4.836,121.46,0.020806
4.836,122.7,0.020382
4.836,124.29,0.019863
4.836,126.23,0.019275
4.836,128.48,0.018646
4.836,131.04,0.018
4.836,133.87,0.01736
4.836,136.96,0.016739
4.836,140.28,0.016144
4.836,143.8,0.015576
4.836,147.5,0.015039
4.836,151.37,0.014539
4.836,155.37,0.014094
4.836,159.49,0.013727
4.836,163.69,0.013456
4.836,167.98,0.013282
4.836,172.3,0.013189
4.836,176.64,0.013151
4.886,0.047495,4.0167
4.886,0.10875,4.0166
4.886,0.16974,4.0164
4.886,0.22981,4.016
4.886,0.28857,4.0155
4.886,0.34565,4.015
4.886,0.40072,4.0144
4.886,0.45343,4.0137
4.886,0.50349,4.013
4.886,0.5506,4.0123
4.886,0.59448,4.0115
4.886,0.63487,4.0108
4.886,0.67154,4.0101
4.886,0.70427,4.0094
4.886,0.73287,4.0088
4.886,0.75716,4.0083
4.886,0.77702,4.0078
4.886,0.79231,4.0075
4.886,0.80296,4.0072
4.886,0.8089,4.0071
4.886,0.82272,4.0067
4.886,0.87351,4.0054
4.886,0.95702,4.0032
4.886,1.0639,4.0
4.886,1.1858,3.9959
4.886,1.316,3.9911
4.886,1.4498,3.9857
4.886,1.5834,3.9797
4.886,1.7141,3.9734
4.886,1.8399,3.9668
4.886,1.959,3.9602
4.886,2.0699,3.9537
4.886,2.1716,3.9474
4.886,2.263,3.9415
4.886,2.3433,3.9361
4.886,2.4118,3.9314
4.886,2.468,3.9274
4.886,2.5114,3.9243
4.886,2.5417,3.9221
4.886,2.5586,3.9208
4.886,2.6019,3.9176
4.886,2.7625,3.9052
4.886,3.0267,3.8833
4.886,3.3648,3.8527
4.886,3.7504,3.8142
4.886,4.1625,3.7691
4.886,4.5857,3.7187
4.886,5.0085,3.6645
4.886,5.4224,3.6079
4.886,5.8206,3.5504
4.886,6.1975,3.4934
4.886,6.5489,3.4382
4.886,6.8708,3.3859
4.886,7.1604,3.3377
4.886,7.4148,3.2945
4.886,7.632,3.257
4.886,7.8101,3.2259
4.886,7.9476,3.2017
4.886,8.0435,3.1846
4.886,8.097,3.1751
4.886,8.2342,3.1505
4.886,8.7435,3.058
4.886,9.5812,2.9021
4.886,10.654,2.6987
4.886,11.879,2.4662
4.886,13.189,2.2225
4.886,14.536,1.9825
4.886,15.884,1.7572
4.886,17.205,1.5536
4.886,18.478,1.3748
4.886,19.685,1.2215
4.886,20.812,1.0925
4.886,21.847,0.98581
4.886,22.778,0.89878
4.886,23.598,0.82893
4.886,24.298,0.77398
4.886,24.873,0.73196
4.886,25.318,0.7013
4.886,25.628,0.6808
4.886,25.801,0.66967
4.886,26.245,0.64213
4.886,27.897,0.55146
4.886,30.627,0.43596
4.886,34.147,0.33364
4.886,38.201,0.25783
4.886,42.589,0.20504
4.886,47.165,0.16752
4.886,51.817,0.13935
4.886,56.461,0.11729
4.886,61.024,0.09972
4.886,65.445,0.085705
4.886,69.666,0.074546
4.886,73.63,0.06566
4.886,77.284,0.058591
4.886,80.574,0.053002
4.886,83.445,0.048651
4.886,85.848,0.045354
4.886,87.736,0.042969
4.886,89.071,0.041387
4.886,89.823,0.040533
4.886,90.098,0.040226
4.886,90.516,0.039768
4.886,91.257,0.038973
4.886,92.305,0.037891
4.886,93.636,0.036583
4.886,95.22,0.035117
4.886,97.024,0.033564
4.886,99.008,0.031986
4.886,101.13,0.030433
4.886,103.35,0.028946
4.886,105.61,0.027552
4.886,107.88,0.026266
4.886,110.09,0.025102
4.886,112.19,0.024068
4.886,114.14,0.02317
4.886,115.89,0.022412
4.886,117.37,0.021799
4.886,118.56,0.021331
4.886,119.41,0.021008
4.886,119.89,0.020829
4.886,120.11,0.020746
4.886,120.6,0.02057
4.886,121.46,0.020264
4.886,122.7,0.019843
4.886,124.29,0.01933
4.886,126.23,0.018749
4.886,128.48,0.01813
4.886,131.04,0.017498
4.886,133.87,0.016875
4.886,136.96,0.016273
4.886,140.28,0.015697
4.886,143.8,0.015143
4.886,147.5,0.014612
4.886,151.37,0.014113
4.886,155.37,0.013668
4.886,159.49,0.013303
4.886,163.69,0.013041
4.886,167.98,0.012884
4.886,172.3,0.012811
4.886,176.64,0.012789
4.936,0.047495,4.6319
4.936,0.10875,4.6317
4.936,0.16974,4.6314
4.936,0.22981,4.631
4.936,0.28857,4.6304
4.936,0.34565,4.6298
4.936,0.40072,4.629
4.936,0.45343,4.6282
4.936,0.50349,4.6273
4.936,0.5506,4.6264
4.936,0.59448,4.6255
4.936,0.63487,4.6246
4.936,0.67154,4.6237
4.936,0.70427,4.6229
4.936,0.73287,4.6221
4.936,0.75716,4.6215
4.936,0.77702,4.6209
4.936,0.79231,4.6205
4.936,0.80296,4.6202
4.936,0.8089,4.62
4.936,0.82272,4.6196
4.936,0.87351,4.618
4.936,0.95702,4.6152
4.936,1.0639,4.6113
4.936,1.1858,4.6063
4.936,1.316,4.6004
4.936,1.4498,4.5937
4.936,1.5834,4.5863
4.936,1.7141,4.5785
4.936,1.8399,4.5705
4.936,1.959,4.5624
4.936,2.0699,4.5543
4.936,2.1716,4.5466
4.936,2.263,4.5394
4.936,2.3433,4.5328
4.936,2.4118,4.527
4.936,2.468,4.5221
4.936,2.5114,4.5183
4.936,2.5417,4.5156
4.936,2.5586,4.514
4.936,2.6019,4.5101
4.936,2.7625,4.4949
4.936,3.0267,4.468
4.936,3.3648,4.4304
4.936,3.7504,4.3833
4.936,4.1625,4.328
4.936,4.5857,4.2664
4.936,5.0085,4.2001
4.936,5.4224,4.131
4.936,5.8206,4.0609
4.936,6.1975,3.9915
4.936,6.5489,3.9243
4.936,6.8708,3.8609
4.936,7.1604,3.8024
4.936,7.4148,3.75
4.936,7.632,3.7046
4.936,7.8101,3.667
4.936,7.9476,3.6377
4.936,8.0435,3.6171
4.936,8.097,3.6055
4.936,8.2342,3.5759
4.936,8.7435,3.4642
4.936,9.5812,3.2768
4.936,10.654,3.0334
4.936,11.879,2.7568
4.936,13.189,2.4689
4.936,14.536,2.1876
4.936,15.884,1.9257
4.936,17.205,1.6909
4.936,18.478,1.4865
4.936,19.685,1.3127
4.936,20.812,1.1676
4.936,21.847,1.0483
4.936,22.778,0.9517
4.936,23.598,0.8746
4.936,24.298,0.81423
4.936,24.873,0.76825
4.936,25.318,0.73481
4.936,25.628,0.71251
4.936,25.801,0.70042
4.936,26.245,0.67055
4.936,27.897,0.57281
4.936,30.627,0.4498
4.936,34.147,0.34244
4.936,38.201,0.26391
4.936,42.589,0.20956
4.936,47.165,0.17084
4.936,51.817,0.14159
4.936,56.461,0.11861
4.936,61.024,0.10033
4.936,65.445,0.085839
4.936,69.666,0.074382
4.936,73.63,0.065313
4.936,77.284,0.058125
4.936,80.574,0.052456
4.936,83.445,0.048048
4.936,85.848,0.044715
4.936,87.736,0.042307
4.936,89.071,0.040714
4.936,89.823,0.039854
4.936,90.098,0.039545
4.936,90.516,0.039085
4.936,91.257,0.038287
4.936,92.305,0.037202
4.936,93.636,0.035892
4.936,95.22,0.034429
4.936,97.024,0.032883
4.936,99.008,0.031317
4.936,101.13,0.029781
4.936,103.35,0.028315
4.936,105.61,0.026941
4.936,107.88,0.025675
4.936,110.09,0.024527
4.936,112.19,0.023505
4.936,114.14,0.022616
4.936,115.89,0.021865
4.936,117.37,0.021257
4.936,118.56,0.020792
4.936,119.41,0.020471
4.936,119.89,0.020294
4.936,120.11,0.020211
4.936,120.6,0.020036
4.936,121.46,0.019732
4.936,122.7,0.019315
4.936,124.29,0.018806
4.936,126.23,0.018234
4.936,128.48,0.017625
4.936,131.04,0.017009
4.936,133.87,0.016404
4.936,136.96,0.015823
4.936,140.28,0.015266
4.936,143.8,0.014727
4.936,147.5,0.014203
4.936,151.37,0.013704
4.936,155.37,0.013255
4.936,159.49,0.012891
4.936,163.69,0.012639
4.936,167.98,0.012502
4.936,172.3,0.012453
4.936,176.64,0.012448
4.986,0.047495,5.302
4.986,0.10875,5.3017
4.986,0.16974,5.3014
4.986,0.22981,5.3008
4.986,0.28857,5.3002
4.986,0.34565,5.2993
4.986,0.40072,5.2984
4.986,0.45343,5.2974
4.986,0.50349,5.2964
4.986,0.5506,5.2953
4.986,0.59448,5.2941
4.986,0.63487,5.293
4.986,0.67154,5.292
4.986,0.70427,5.291
4.986,0.73287,5.2901
4.986,0.75716,5.2893
4.986,0.77702,5.2886
4.986,0.79231,5.288
4.986,0.80296,5.2877
4.986,0.8089,5.2875
4.986,0.82272,5.287
4.986,0.87351,5.285
4.986,0.95702,5.2817
4.986,1.0639,5.2769
4.986,1.1858,5.2708
4.986,1.316,5.2636
4.986,1.4498,5.2554
4.986,1.5834,5.2465
4.986,1.7141,5.237
4.986,1.8399,5.2273
4.986,1.959,5.2174
4.986,2.0699,5.2076
4.986,2.1716,5.1982
4.986,2.263,5.1894
4.986,2.3433,5.1814
4.986,2.4118,5.1744
4.986,2.468,5.1685
4.986,2.5114,5.1638
4.986,2.5417,5.1605
4.986,2.5586,5.1587
4.986,2.6019,5.1538
4.986,2.7625,5.1354
4.986,3.0267,5.1028
4.986,3.3648,5.0571
4.986,3.7504,5.0
4.986,4.1625,4.9331
4.986,4.5857,4.8585
4.986,5.0085,4.7784
4.986,5.4224,4.6949
4.986,5.8206,4.6104
4.986,6.1975,4.5268
4.986,6.5489,4.446
4.986,6.8708,4.3697
4.986,7.1604,4.2996
4.986,7.4148,4.2368
4.986,7.632,4.1824
4.986,7.8101,4.1373
4.986,7.9476,4.1023
4.986,8.0435,4.0777
4.986,8.097,4.0639
4.986,8.2342,4.0284
4.986,8.7435,3.8953
4.986,9.5812,3.6724
4.986,10.654,3.3843
4.986,11.879,3.0588
4.986,13.189,2.7224
4.986,14.536,2.3962
4.986,15.884,2.095
4.986,17.205,1.8273
4.986,18.478,1.5961
4.986,19.685,1.4011
4.986,20.812,1.2395
4.986,21.847,1.1076
4.986,22.778,1.0014
4.986,23.598,0.91714
4.986,24.298,0.85147
4.986,24.873,0.80165
4.986,25.318,0.76553
4.986,25.628,0.74149
4.986,25.801,0.72848
4.986,26.245,0.69639
4.986,27.897,0.592
4.986,30.627,0.4621
4.986,34.147,0.35029
4.986,38.201,0.26945
4.986,42.589,0.21373
4.986,47.165,0.17387
4.986,51.817,0.14356
4.986,56.461,0.11966
4.986,61.024,0.10071
4.986,65.445,0.085785
4.986,69.666,0.074073
4.986,73.63,0.064858
4.986,77.284,0.05758
4.986,80.574,0.051848
4.986,83.445,0.047398
4.986,85.848,0.044035
4.986,87.736,0.041611
4.986,89.071,0.040009
4.986,89.823,0.039146
4.986,90.098,0.038837
4.986,90.516,0.038375
4.986,91.257,0.037575
4.986,92.305,0.036489
4.986,93.636,0.035182
4.986,95.22,0.033725
4.986,97.024,0.03219
4.986,99.008,0.030641
4.986,101.13,0.029128
4.986,103.35,0.027685
4.986,105.61,0.026336
4.986,107.88,0.025093
4.986,110.09,0.023964
4.986,112.19,0.022956
4.986,114.14,0.022076
4.986,115.89,0.021332
4.986,117.37,0.020728
4.986,118.56,0.020266
4.986,119.41,0.019948
4.986,119.89,0.019771
4.986,120.11,0.019688
4.986,120.6,0.019515
4.986,121.46,0.019213
4.986,122.7,0.018799
4.986,124.29,0.018296
4.986,126.23,0.017731
4.986,128.48,0.017134
4.986,131.04,0.016533
4.986,133.87,0.015949
4.986,136.96,0.01539
4.986,140.28,0.014854
4.986,143.8,0.01433
4.986,147.5,0.013812
4.986,151.37,0.013311
4.986,155.37,0.012857
4.986,159.49,0.012493
4.986,163.69,0.012252
4.986,167.98,0.012137
4.986,172.3,0.012115
4.986,176.64,0.01213
5.036,0.047495,6.028
5.036,0.10875,6.0278
5.036,0.16974,6.0273
5.036,0.22981,6.0267
5.036,0.28857,6.0259
5.036,0.34565,6.0249
5.036,0.40072,6.0238
5.036,0.45343,6.0226
5.036,0.50349,6.0213
5.036,0.5506,6.02
5.036,0.59448,6.0186
5.036,0.63487,6.0173
5.036,0.67154,6.016
5.036,0.70427,6.0148
5.036,0.73287,6.0137
5.036,0.75716,6.0127
5.036,0.77702,6.0119
5.036,0.79231,6.0113
5.036,0.80296,6.0108
5.036,0.8089,6.0106
5.036,0.82272,6.01
5.036,0.87351,6.0076
5.036,0.95702,6.0036
5.036,1.0639,5.9978
5.036,1.1858,5.9905
5.036,1.316,5.9818
5.036,1.4498,5.972
5.036,1.5834,5.9612
5.036,1.7141,5.9498
5.036,1.8399,5.9381
5.036,1.959,5.9262
5.036,2.0699,5.9144
5.036,2.1716,5.9031
5.036,2.263,5.8925
5.036,2.3433,5.8829
5.036,2.4118,5.8744
5.036,2.468,5.8673
5.036,2.5114,5.8617
5.036,2.5417,5.8577
5.036,2.5586,5.8555
5.036,2.6019,5.8497
5.036,2.7625,5.8275
5.036,3.0267,5.7883
5.036,3.3648,5.7335
5.036,3.7504,5.6649
5.036,4.1625,5.5846
5.036,4.5857,5.4952
5.036,5.0085,5.3993
5.036,5.4224,5.2996
5.036,5.8206,5.1986
5.036,6.1975,5.0989
5.036,6.5489,5.0027
5.036,6.8708,4.912
5.036,7.1604,4.8286
5.036,7.4148,4.7541
5.036,7.632,4.6896
5.036,7.8101,4.6362
5.036,7.9476,4.5947
5.036,8.0435,4.5655
5.036,8.097,4.5492
5.036,8.2342,4.5073
5.036,8.7435,4.3501
5.036,9.5812,4.0877
5.036,10.654,3.75
5.036,11.879,3.3708
5.036,13.189,2.9816
5.036,14.536,2.6072
5.036,15.884,2.2643
5.036,17.205,1.9619
5.036,18.478,1.703
5.036,19.685,1.4862
5.036,20.812,1.3079
5.036,21.847,1.1634
5.036,22.778,1.0478
5.036,23.598,0.95648
5.036,24.298,0.88567
5.036,24.873,0.83216
5.036,25.318,0.79347
5.036,25.628,0.76779
5.036,25.801,0.75389
5.036,26.245,0.71971
5.036,27.897,0.60911
5.036,30.627,0.47298
5.036,34.147,0.3573
5.036,38.201,0.27451
5.036,42.589,0.21759
5.036,47.165,0.17664
5.036,51.817,0.14528
5.036,56.461,0.12049
5.036,61.024,0.10089
5.036,65.445,0.085564
5.036,69.666,0.073639
5.036,73.63,0.064313
5.036,77.284,0.056971
5.036,80.574,0.051195
5.036,83.445,0.046712
5.036,85.848,0.043328
5.036,87.736,0.040892
5.036,89.071,0.039285
5.036,89.823,0.03842
5.036,90.098,0.03811
5.036,90.516,0.037647
5.036,91.257,0.036848
5.036,92.305,0.035763
5.036,93.636,0.03446
5.036,95.22,0.033013
5.036,97.024,0.031493
5.036,99.008,0.029964
5.036,101.13,0.028477
5.036,103.35,0.027063
5.036,105.61,0.025742
5.036,107.88,0.024524
5.036,110.09,0.023415
5.036,112.19,0.022423
5.036,114.14,0.021553
5.036,115.89,0.020815
5.036,117.37,0.020215
5.036,118.56,0.019756
5.036,119.41,0.019439
5.036,119.89,0.019263
5.036,120.11,0.019181
5.036,120.6,0.019009
5.036,121.46,0.018709
5.036,122.7,0.018297
5.036,124.29,0.017799
5.036,126.23,0.017241
5.036,128.48,0.016655
5.036,131.04,0.016071
5.036,133.87,0.015509
5.036,136.96,0.014974
5.036,140.28,0.014461
5.036,143.8,0.013953
5.036,147.5,0.01344
5.036,151.37,0.012934
5.036,155.37,0.012473
5.036,159.49,0.012108
5.036,163.69,0.011878
5.036,167.98,0.011788
5.036,172.3,0.011796
5.036,176.64,0.011835
